parentID,parentFName,parentLName,address,phoneNo,studentId
70116,James,Butt,6649 N Blue Gum St,504-621-8927,A19014
48116,Josephine,Darakjy,4 B Blue Ridge Blvd,810-292-9388,A95111
88014,Art,Venere,8 W Cerritos Ave #54,856-636-8749,A75062
99501,Lenna,Paprocki,639 Main St,907-385-4412,A12204
45011,Donette,Foller,34 Center St,513-570-1893,A48846
44805,Simona,Morasca,3 Mcauley Dr,419-503-2484,A54481
60632,Mitsue,Tollner,7 Eads St,773-573-6914,A66218
95111,Leota,Dilliard,7 W Jackson Blvd,408-752-3500,A21601
57105,Sage,Wieser,5 Boston Ave #88,605-414-2147,A10011
21224,Kris,Marrier,228 Runamuck Pl #2808,410-655-8723,A77301
19443,Minna,Amigon,2371 Jerrold Ave,215-874-1229,A43215
11953,Abel,Maclead,37275 St  Rt 17m M,631-335-3414,A88011
90034,Kiley,Caldarera,25 E 75th St #69,310-498-5651,A10025
44023,Graciela,Ruta,98 Connecticut Ave Nw,440-780-8425,A70002
78045,Cammy,Albares,56 E Morehead St,956-537-6195,A10011
85013,Mattie,Poquette,73 State Road 434 E,602-277-4385,A93012
37110,Meaghan,Garufi,69734 E Carrillo St,931-313-9635,A78204
53207,Gladys,Rim,322 New Horizon Blvd,414-661-9598,A67410
48180,Yuki,Whobrey,1 State Route 27,313-288-7937,A97754
61109,Fletcher,Flosi,394 Manchester Blvd,815-828-2147,A66204
