studentID,NoOfBookBorrowed,AccessToRent,studentFName,studentLName,address,phoneNo
A19014,1,,Erick,Foller,34 Center St,317-472-2412
A95111,1,,Fatima,Morasca,3 Mcauley Dr,307-279-3793
A75062,0,,Jina,Tollner,7 Eads St,703-475-7568
A12204,0,,Kanisha,Dilliard,7 W Jackson Blvd,504-946-1807
A48846,0,,Emerson,Wieser,5 Boston Ave #88,303-521-9860
A54481,0,,Blair,Marrier,228 Runamuck Pl #2808,510-472-7758
A66218,0,,Brock,Amigon,2371 Jerrold Ave,808-475-2310
A21601,0,,Lorrie,Morocco,74989 Brandon St,952-938-9457
A10011,0,,Sabra,Eroman,6 Kains Ave,336-497-4407
A77301,1,,Marjory,Mondella,47565 W Grand Ave,516-365-7266
A43215,2,,Karl,Blackwood,4284 Dorigo Ln,503-909-7167
A88011,0,,Tonette,Abdallah,6794 Lake Dr E,608-942-8836
A10025,0,,Amber,Rhym,31 Douglas Blvd #950,508-843-1426
A70002,0,,Shenika,Rhymes,44 W 4th St,305-304-6573
A10011,0,,Delmy,Hoogland,11279 Loytan St,814-299-2877
A93012,0,,Deeanna,Parlato,69 Marquette Ave,972-742-4000
A78204,1,,Blondell,Reitler,70 W Main St,931-739-1551
A67410,0,,Jamal,Crupi,461 Prospect Pl #316,973-284-4048
A97754,0,,Cecily,Dickerson,47154 Whipple Ave Nw,305-575-8481
A66204,1,,Carmelina,Isenhower,37 Alabama Ave,410-916-8015
