parentID,parentFName,parentLName,address,phoneNo,studentId
70116,James,Butt,6649 N Blue Gum St,504-621-8927,A19014
70117,Josephine,Darakjy,4 B Blue Ridge Blvd,810-292-9388,A19015
70118,Art,Venere,8 W Cerritos Ave #54,856-636-8749,A19016
70119,Lenna,Paprocki,639 Main St,907-385-4412,A19017
70120,Donette,Foller,34 Center St,513-570-1893,A19018
70121,Simona,Morasca,3 Mcauley Dr,419-503-2484,A19019
70122,Mitsue,Tollner,7 Eads St,773-573-6914,A19020
70123,Leota,Dilliard,7 W Jackson Blvd,408-752-3500,A19021
70124,Sage,Wieser,5 Boston Ave #88,605-414-2147,A19022
70125,Kris,Marrier,228 Runamuck Pl #2808,410-655-8723,A19023
70126,Minna,Amigon,2371 Jerrold Ave,215-874-1229,A19024
70127,Abel,Maclead,37275 St  Rt 17m M,631-335-3414,A19025
70128,Kiley,Caldarera,25 E 75th St #69,310-498-5651,A19026
70129,Graciela,Ruta,98 Connecticut Ave Nw,440-780-8425,A19027
70130,Cammy,Albares,56 E Morehead St,956-537-6195,A19028
70131,Mattie,Poquette,73 State Road 434 E,602-277-4385,A19029
70132,Meaghan,Garufi,69734 E Carrillo St,931-313-9635,A19030
70133,Gladys,Rim,322 New Horizon Blvd,414-661-9598,A19031
70134,Yuki,Whobrey,1 State Route 27,313-288-7937,A19032
70135,Fletcher,Flosi,394 Manchester Blvd,815-828-2147,A19033
