studentID,NoOfBookBorrowed,AccessToRent,studentFName,studentLName,address,phoneNo
A19014,2,1,Erick,Foller,34 Center St,317-472-2412
A19015,1,1,Fatima,Morasca,3 Mcauley Dr,307-279-3793
A19016,1,1,Jina,Tollner,7 Eads St,703-475-7568
A19017,3,1,Kanisha,Dilliard,7 W Jackson Blvd,504-946-1807
A19018,1,1,Emerson,Wieser,5 Boston Ave #88,303-521-9860
A19019,1,1,Blair,Marrier,228 Runamuck Pl #2808,510-472-7758
A19020,1,1,Brock,Amigon,2371 Jerrold Ave,808-475-2310
A19021,1,1,Lorrie,Morocco,74989 Brandon St,952-938-9457
A19022,1,1,Sabra,Eroman,6 Kains Ave,336-497-4407
A19023,1,1,Marjory,Mondella,47565 W Grand Ave,516-365-7266
A19024,1,1,Karl,Blackwood,4284 Dorigo Ln,503-909-7167
A19025,1,1,Tonette,Abdallah,6794 Lake Dr E,608-942-8836
A19026,1,1,Amber,Rhym,31 Douglas Blvd #950,508-843-1426
A19027,1,1,Shenika,Rhymes,44 W 4th St,305-304-6573
A19028,1,1,Delmy,Hoogland,11279 Loytan St,814-299-2877
A19029,2,1,Deeanna,Parlato,69 Marquette Ave,972-742-4000
A19030,1,1,Blondell,Reitler,70 W Main St,931-739-1551
A19031,1,1,Jamal,Crupi,461 Prospect Pl #316,973-284-4048
A19032,1,1,Cecily,Dickerson,47154 Whipple Ave Nw,305-575-8481
A19033,1,1,Carmelina,Isenhower,37 Alabama Ave,410-916-8015
